title,abstract,domain,technologies,Year,source_url
awesome-reverse-engineering,Reverse Engineering Resources About All Platforms(Windows/Linux/macOS/Android/iOS/IoT) And Every Aspect! (More than 3500 open source tools and 2300 posts&videos),IoT / Embedded,"android,iot",,https://github.com/alphaSeclab/awesome-reverse-engineering
cookiecutter-flask,"A flask template with Bootstrap, asset bundling+minification with webpack, starter templates, and registration/authentication. For use with cookiecutter.",Web / Mobile,flask,,https://github.com/cookiecutter-flask/cookiecutter-flask
MaterialDateTimePicker,Pick a date or time on Android in style,Web / Mobile,android,,https://github.com/wdullaer/MaterialDateTimePicker
Rubeus,Trying to tame the three-headed dog.,Multiple / Unknown,,,https://github.com/GhostPack/Rubeus
awesome-scifi,Sci-Fi worth consuming,Multiple / Unknown,,,https://github.com/sindresorhus/awesome-scifi
statsforecast,Lightning ⚡️ fast forecasting with statistical and econometric models.,Multiple / Unknown,,,https://github.com/Nixtla/statsforecast
Integuru,The first AI agent that builds permissionless integrations through reverse engineering platforms' internal APIs.,Multiple / Unknown,,,https://github.com/Integuru-AI/Integuru
WhisperSpeech,An Open Source text-to-speech system built by inverting Whisper.,Multiple / Unknown,whisper,,https://github.com/WhisperSpeech/WhisperSpeech
Reinforcement-Learning,Learn Deep Reinforcement Learning in 60 days! Lectures & Code in Python. Reinforcement Learning + Deep Learning,AI / ML,python,,https://github.com/andri27-ts/Reinforcement-Learning
Person_reID_baseline_pytorch,":bouncing_ball_person: Pytorch ReID: A tiny, friendly, strong pytorch implement of person re-id / vehicle re-id baseline. Tutorial 👉https://github.com/layumi/Person_reID_baseline_pytorch/tree/master/tutorial",AI / ML,pytorch,,https://github.com/layumi/Person_reID_baseline_pytorch
grobid,A machine learning software for extracting information from scholarly documents,AI / ML,,,https://github.com/kermitt2/grobid
EconML,"ALICE (Automated Learning and Intelligence for Causation and Economics) is a Microsoft Research project aimed at applying Artificial Intelligence concepts to economic decision making. One of its  goals is to build a toolkit that combines state-of-the-art machine learning techniques with econometrics in order to bring automation to complex causal inference problems. To date, the ALICE Python SDK (econml) implements orthogonal machine learning algorithms such as the double machine learning work of Chernozhukov et al. This toolkit is designed to measure the causal effect of some treatment variabl",AI / ML,python,,https://github.com/py-why/EconML
Dollar,A functional tool-belt for Swift Language similar to Lo-Dash or Underscore.js in Javascript,Web / Mobile,"javascript,swift",,https://github.com/ankurp/Dollar
alpha-zero-general,A clean implementation based on AlphaZero for any game in any framework + tutorial + Othello/Gobang/TicTacToe/Connect4 and more,Multiple / Unknown,,,https://github.com/suragnair/alpha-zero-general
HunyuanDiT,Hunyuan-DiT : A Powerful Multi-Resolution Diffusion Transformer with Fine-Grained Chinese Understanding,NLP / AI,transformer,,https://github.com/Tencent-Hunyuan/HunyuanDiT
running_page,Make your own running home page,Multiple / Unknown,,,https://github.com/yihong0618/running_page
CLUE,"中文语言理解测评基准 Chinese Language Understanding Evaluation Benchmark: datasets, baselines, pre-trained models, corpus and leaderboard",Multiple / Unknown,,,https://github.com/CLUEbenchmark/CLUE
Chinese-Vicuna,Chinese-Vicuna: A Chinese Instruction-following LLaMA-based Model —— 一个中文低资源的llama+lora方案，结构参考alpaca,Multiple / Unknown,,,https://github.com/Facico/Chinese-Vicuna
deep-research,Use any LLMs (Large Language Models) for Deep Research. Support SSE API and MCP server.,Multiple / Unknown,,,https://github.com/u14app/deep-research
Paints-UNDO,Understand Human Behavior to Align True Needs,Multiple / Unknown,,,https://github.com/lllyasviel/Paints-UNDO
APT_CyberCriminal_Campagin_Collections,APT & CyberCriminal Campaign Collection,Multiple / Unknown,,,https://github.com/CyberMonitor/APT_CyberCriminal_Campagin_Collections
chatgpt-prompts-for-academic-writing,"This list of writing prompts covers a range of topics and tasks, including brainstorming research ideas, improving language and style, conducting literature reviews, and developing research plans.",Multiple / Unknown,,,https://github.com/ahmetbersoz/chatgpt-prompts-for-academic-writing
openevolve,Open-source implementation of AlphaEvolve,Multiple / Unknown,,,https://github.com/codelion/openevolve
FinanceToolkit,Transparent and Efficient Financial Analysis,Multiple / Unknown,,,https://github.com/JerBouma/FinanceToolkit
easyloggingpp,"C++ logging library. It is powerful, supports asynchronous low latency, extendable, light-weight, fast performing, thread and type safe and consists of many built-in features. It provides ability to write logs in your own customized format. It also provide support for logging your classes, third-party libraries, STL and third-party containers etc.",Multiple / Unknown,c,,https://github.com/abumq/easyloggingpp
awesome-machine-learning-interpretability,A curated list of awesome responsible machine learning resources.,AI / ML,,,https://github.com/jphall663/awesome-machine-learning-interpretability
Linux-Bash-Commands,":godmode: Ultimate list of Linux bash commands, cheatsheets and resources",Multiple / Unknown,,,https://github.com/trinib/Linux-Bash-Commands
stylegan2-pytorch,"Simplest working implementation of Stylegan2, state of the art generative adversarial network, in Pytorch. Enabling everyone to experience disentanglement",AI / ML,pytorch,,https://github.com/lucidrains/stylegan2-pytorch
SuperGluePretrainedNetwork,"SuperGlue: Learning Feature Matching with Graph Neural Networks (CVPR 2020, Oral)",Multiple / Unknown,,,https://github.com/magicleap/SuperGluePretrainedNetwork
awesome-blockchains,A collection about awesome blockchains - open distributed public databases w/ crypto hashes incl. git ;-).  Blockchains are the new tulips :tulip::tulip::tulip:. Distributed is the new centralized.,Blockchain,,,https://github.com/openblockchains/awesome-blockchains
imapsync,"Imapsync is an IMAP transfers tool. The purpose of imapsync is to migrate IMAP accounts or to backup IMAP accounts. IMAP is one of the three current standard protocols to access mailboxes, the two others are POP3 and HTTP with webmails, webmails are often tied to an IMAP server. Upstream website is",Multiple / Unknown,,,https://github.com/imapsync/imapsync
Surface-Defect-Detection,📈 目前最大的工业缺陷检测数据库及论文集 Constantly summarizing open source dataset and critical papers in the field of surface defect research which are of great importance.,Multiple / Unknown,,,https://github.com/Charmve/Surface-Defect-Detection
YJYpaper,一个用来记录武汉大学杨景媛论文问题的仓库,Multiple / Unknown,,,https://github.com/zouzhekang/YJYpaper
Deformable-DETR,Deformable DETR: Deformable Transformers for End-to-End Object Detection.,NLP / AI,,,https://github.com/fundamentalvision/Deformable-DETR
waka-readme-stats,This GitHub action helps to add cool dev metrics to your github profile Readme,Multiple / Unknown,,,https://github.com/anmol098/waka-readme-stats
ultimate-coding-resources,"A collection of the best resources for programming, web development, computer science and more.",Multiple / Unknown,,,https://github.com/Dylan-Israel/ultimate-coding-resources
ChatDoctor,,Multiple / Unknown,,,https://github.com/Kent0n-Li/ChatDoctor
hallo2,[ICLR 2025] Hallo2: Long-Duration and High-Resolution Audio-driven Portrait Image Animation,Computer Vision / AI,,,https://github.com/fudan-generative-vision/hallo2
PromptWizard,Task-Aware Agent-driven Prompt Optimization Framework,Multiple / Unknown,,,https://github.com/microsoft/PromptWizard
Zappa,Serverless Python,Multiple / Unknown,python,,https://github.com/zappa/Zappa
VToonify,[SIGGRAPH Asia 2022] VToonify: Controllable High-Resolution Portrait Video Style Transfer,Multiple / Unknown,,,https://github.com/williamyang1991/VToonify
ag2,AG2 (formerly AutoGen): The Open-Source AgentOS. Join us at: https://discord.gg/pAbnFJrkgZ,Multiple / Unknown,,,https://github.com/ag2ai/ag2
rrule,JavaScript library for working with recurrence rules for calendar dates as defined in the iCalendar RFC and more.,Web / Mobile,javascript,,https://github.com/jkbrzt/rrule
SWE-bench,SWE-bench: Can Language Models Resolve Real-world Github Issues?,Multiple / Unknown,,,https://github.com/SWE-bench/SWE-bench
simpleaichat,"Python package for easily interfacing with chat apps, with robust features and minimal code complexity.",Multiple / Unknown,python,,https://github.com/minimaxir/simpleaichat
thc-tips-tricks-hacks-cheat-sheet,Various tips & tricks,Multiple / Unknown,,,https://github.com/hackerschoice/thc-tips-tricks-hacks-cheat-sheet
awesome-claude-prompts,This repo includes Claude prompt curation to use Claude better.,Multiple / Unknown,,,https://github.com/langgptai/awesome-claude-prompts
XLeRobot,XLeRobot: Practical Dual-Arm Mobile Home Robot for $660,Web / Mobile,,,https://github.com/Vector-Wangel/XLeRobot
AdelaiDet,AdelaiDet is an open source toolbox for multiple instance-level detection and recognition tasks.,Multiple / Unknown,,,https://github.com/aim-uofa/AdelaiDet
LSTM-Human-Activity-Recognition,Human Activity Recognition example using TensorFlow on smartphone sensors dataset and an LSTM RNN. Classifying the type of movement amongst six activity categories - Guillaume Chevalier,IoT / Embedded,"lstm,tensorflow",,https://github.com/guillaume-chevalier/LSTM-Human-Activity-Recognition
ELF,ELF: a platform for game research with AlphaGoZero/AlphaZero reimplementation,Multiple / Unknown,,,https://github.com/pytorch/ELF
eg3d,,Multiple / Unknown,,,https://github.com/NVlabs/eg3d
AwesomeJavaFX,"A curated list of awesome JavaFX libraries, books, frameworks, etc...",Multiple / Unknown,,,https://github.com/mhrimaz/AwesomeJavaFX
End-to-end-Autonomous-Driving,[IEEE T-PAMI 2024] All you need for End-to-end Autonomous Driving,Multiple / Unknown,,,https://github.com/OpenDriveLab/End-to-end-Autonomous-Driving
coding-resources,,Multiple / Unknown,,,https://github.com/nishant-Tiwari24/coding-resources
VACE,Official implementations for paper: VACE: All-in-One Video Creation and Editing,Multiple / Unknown,,,https://github.com/ali-vilab/VACE
mljar-supervised,"Python package for AutoML on Tabular Data with Feature Engineering, Hyper-Parameters Tuning, Explanations and Automatic Documentation",Multiple / Unknown,python,,https://github.com/mljar/mljar-supervised
open-instruct,AllenAI's post-training codebase,Multiple / Unknown,,,https://github.com/allenai/open-instruct
nodejs-basics,Node.js Basics ( v18.x ),Web / Mobile,,,https://github.com/learning-zone/nodejs-basics
Torch-Pruning,"[CVPR 2023] DepGraph: Towards Any Structural Pruning; LLMs, Vision Foundation Models, etc.",Computer Vision / AI,,,https://github.com/VainF/Torch-Pruning
awesome-TS-anomaly-detection,List of tools & datasets for anomaly detection on time-series data.,Multiple / Unknown,,,https://github.com/rob-med/awesome-TS-anomaly-detection
personal-server,Personal server configuration with k3s,Multiple / Unknown,,,https://github.com/erebe/personal-server
Step-Video-T2V,,Multiple / Unknown,,,https://github.com/stepfun-ai/Step-Video-T2V
Linly,Chinese-LLaMA 1&2、Chinese-Falcon 基础模型；ChatFlow中文对话模型；中文OpenLLaMA模型；NLP预训练/指令微调数据集,NLP / AI,,,https://github.com/CVI-SZU/Linly
ROMA,Recursive-Open-Meta-Agent v0.1 (Beta). A meta-agent framework to build high-performance multi-agent systems.,Multiple / Unknown,,,https://github.com/sentient-agi/ROMA
HorizonCalendar,"A declarative, performant, iOS calendar UI component that supports use cases ranging from simple date pickers all the way up to fully-featured calendar apps.",Multiple / Unknown,,,https://github.com/airbnb/HorizonCalendar
AndroidStandardDevelop,:star2: Best practices in Android develop(final).,Web / Mobile,android,,https://github.com/Blankj/AndroidStandardDevelop
auto-code-rover,A project structure aware autonomous software engineer aiming for autonomous program improvement. Resolved 37.3% tasks (pass@1) in SWE-bench lite and 46.2% tasks (pass@1) in SWE-bench verified with each task costs less than $0.7.,Multiple / Unknown,,,https://github.com/AutoCodeRoverSG/auto-code-rover
Rerender_A_Video,[SIGGRAPH Asia 2023] Rerender A Video: Zero-Shot Text-Guided Video-to-Video Translation,Multiple / Unknown,,,https://github.com/williamyang1991/Rerender_A_Video
image-segmentation-keras,"Implementation of Segnet, FCN, UNet , PSPNet and other models in Keras.",AI / ML,keras,,https://github.com/divamgupta/image-segmentation-keras
gflags,The gflags package contains a C++ library that implements commandline flags processing. It includes built-in support for standard types such as string and the ability to define flags in the source file in which they are used. Online documentation available at:,Multiple / Unknown,c,,https://github.com/gflags/gflags
youtu-agent,A simple yet powerful agent framework that delivers with open-source models,Multiple / Unknown,,,https://github.com/TencentCloudADP/youtu-agent
Automated-AI-Web-Researcher-Ollama,"A python program that turns an LLM, running on Ollama, into an automated researcher, which will with a single query determine focus areas to investigate, do websearches and scrape content from various relevant websites and do research for you all on its own! And more, not limited to but including saving the findings for you!",Multiple / Unknown,python,,https://github.com/TheBlewish/Automated-AI-Web-Researcher-Ollama
iOS-Universal-Framework,"An XCode project template to build universal frameworks (arm7, arm7s, and simulator) for iOS / iPhone.",Multiple / Unknown,,,https://github.com/kstenerud/iOS-Universal-Framework
textgrad,TextGrad: Automatic ''Differentiation'' via Text -- using large language models to backpropagate textual gradients. Published in Nature.,Multiple / Unknown,,,https://github.com/zou-group/textgrad
awesome-deeplearning-resources,Deep Learning and deep reinforcement learning research papers and some codes,AI / ML,,,https://github.com/endymecy/awesome-deeplearning-resources
RapidRAW,"A beautiful, non-destructive, and GPU-accelerated RAW image editor built with performance in mind.",Computer Vision / AI,,,https://github.com/CyberTimon/RapidRAW
awesome-deep-learning-music,List of articles related to deep learning applied to music,AI / ML,,,https://github.com/ybayle/awesome-deep-learning-music
AdaBound,An optimizer that trains as fast as Adam and as good as SGD.,Multiple / Unknown,,,https://github.com/Luolc/AdaBound
awesome-notebooks,"[Legacy] Data & AI Notebook templates catalog organized by tools, following the IMO (input, model, output) framework for easy usage and discovery..",Multiple / Unknown,,,https://github.com/jupyter-naas/awesome-notebooks
src,Source-code used in Kiwi Browser for Android,Web / Mobile,android,,https://github.com/kiwibrowser/src
optillm,Optimizing inference proxy for LLMs,Multiple / Unknown,,,https://github.com/codelion/optillm
WritingAIPaper,Writing AI Conference Papers: A Handbook for Beginners,Multiple / Unknown,,,https://github.com/hzwer/WritingAIPaper
osxphotos,"Python app to work with pictures and associated metadata from Apple Photos on macOS. Also includes a package to provide programmatic access to the Photos library, pictures, and metadata.",Multiple / Unknown,python,,https://github.com/RhetTbull/osxphotos
MoA,Together Mixture-Of-Agents (MoA) –  65.1% on AlpacaEval with OSS models,Multiple / Unknown,,,https://github.com/togethercomputer/MoA
easy-markdown-editor,"EasyMDE: A simple, beautiful, and embeddable JavaScript Markdown editor. Delightful editing for beginners and experts alike. Features built-in autosaving and spell checking.",Web / Mobile,javascript,,https://github.com/Ionaru/easy-markdown-editor
nerf_pl,NeRF (Neural Radiance Fields) and NeRF in the Wild using pytorch-lightning,AI / ML,pytorch,,https://github.com/kwea123/nerf_pl
Grounded-SAM-2,"Grounded SAM 2: Ground and Track Anything in Videos with Grounding DINO, Florence-2 and SAM 2",Multiple / Unknown,,,https://github.com/IDEA-Research/Grounded-SAM-2
facebook-scraper,Scrape Facebook public pages without an API key,Multiple / Unknown,,,https://github.com/kevinzg/facebook-scraper
table-transformer,Table Transformer (TATR) is a deep learning model for extracting tables from unstructured documents (PDFs and images). This is also the official repository for the PubTables-1M dataset and GriTS evaluation metric.,NLP / AI,transformer,,https://github.com/microsoft/table-transformer
evolutionary-architecture-by-example,"Navigate the complex landscape of .NET software architecture with our step-by-step, story-like guide. Unpack the interplay between modular monoliths, microservices, domain-driven design, and various architectural patterns. Go beyond the one-size-fits-all solutions and understand how to blend these approaches based on your unique needs.",Multiple / Unknown,go,,https://github.com/evolutionary-architecture/evolutionary-architecture-by-example
kotlinx-datetime,KotlinX multiplatform date/time library,Multiple / Unknown,,,https://github.com/Kotlin/kotlinx-datetime
LongLoRA,Code and documents of LongLoRA and LongAlpaca (ICLR 2024 Oral),Multiple / Unknown,,,https://github.com/dvlab-research/LongLoRA
awesome-ChatGPT-repositories,A curated list of resources dedicated to open source GitHub repositories related to ChatGPT and OpenAI API,Multiple / Unknown,,,https://github.com/taishi-i/awesome-ChatGPT-repositories
UltraChat,"Large-scale, Informative, and Diverse Multi-round Chat Data (and Models)",Multiple / Unknown,,,https://github.com/thunlp/UltraChat
CAPEv2,Malware Configuration And Payload Extraction,Multiple / Unknown,,,https://github.com/kevoreilly/CAPEv2
FuzzingPaper,Recent Fuzzing Paper,Multiple / Unknown,,,https://github.com/wcventure/FuzzingPaper
vuejs-interview-questions,List of 300 VueJS Interview Questions And Answers,Multiple / Unknown,,,https://github.com/sudheerj/vuejs-interview-questions
thread-pool,"BS::thread_pool: a fast, lightweight, modern, and easy-to-use C++17 / C++20 / C++23 thread pool library",Multiple / Unknown,"c,c++",,https://github.com/bshoshany/thread-pool
XUnity.AutoTranslator,,Multiple / Unknown,,,https://github.com/bbepis/XUnity.AutoTranslator
objc-zen-book,Zen and the Art of the Objective-C Craftsmanship,Multiple / Unknown,c,,https://github.com/objc-zen/objc-zen-book
GeneFace,GeneFace: Generalized and High-Fidelity 3D Talking Face Synthesis; ICLR 2023; Official code,Multiple / Unknown,,,https://github.com/yerfor/GeneFace
pythia,The hub for EleutherAI's work on interpretability and learning dynamics,Multiple / Unknown,,,https://github.com/EleutherAI/pythia
MusePose,MusePose: a Pose-Driven Image-to-Video Framework for Virtual Human Generation,Computer Vision / AI,,,https://github.com/TMElyralab/MusePose
pytorch-GAT,"My implementation of the original GAT paper (Veličković et al.). I've additionally included the playground.py file for visualizing the Cora dataset, GAT embeddings, an attention mechanism, and entropy histograms. I've supported both Cora (transductive) and PPI (inductive) examples!",Multiple / Unknown,,,https://github.com/gordicaleksa/pytorch-GAT
setfit,Efficient few-shot learning with Sentence Transformers,NLP / AI,,,https://github.com/huggingface/setfit
EasyEdit,[ACL 2024] An Easy-to-use Knowledge Editing Framework for LLMs.,Multiple / Unknown,,,https://github.com/zjunlp/EasyEdit
rl-baselines3-zoo,"A training framework for Stable Baselines3 reinforcement learning agents, with hyperparameter optimization and pre-trained agents included.",Multiple / Unknown,,,https://github.com/DLR-RM/rl-baselines3-zoo
GLIP,Grounded Language-Image Pre-training,Computer Vision / AI,,,https://github.com/microsoft/GLIP
AI-Researcher,"[NeurIPS2025] ""AI-Researcher: Autonomous Scientific Innovation"" -- A production-ready version: https://novix.science/chat",Multiple / Unknown,,,https://github.com/HKUDS/AI-Researcher
AAChartKit-Swift,"📈📊📱💻🖥️An elegant modern declarative data visualization chart framework for iOS, iPadOS and macOS. Extremely powerful, supports line, spline, area, areaspline, column, bar, pie, scatter, angular gauges, arearange, areasplinerange, columnrange, bubble, box plot, error bars, funnel, waterfall and polar chart types. 极其精美而又强大的现代化声明式数据可视化图表框架,支持柱状图、条形图、折线图、曲线图、折线填充图、曲线填充图、气泡图、扇形图、环形图、散点图、雷达图、混合图等各种类型的多达几十种的信息图图表,完全满足工作所需.",Multiple / Unknown,,,https://github.com/AAChartModel/AAChartKit-Swift
awesome-functional-python,A curated list of awesome things related to functional programming in Python.,Multiple / Unknown,python,,https://github.com/sfermigier/awesome-functional-python
mtcnn,"MTCNN face detection implementation for TensorFlow, as a PIP package.",Computer Vision / AI,tensorflow,,https://github.com/ipazc/mtcnn
contrastive-unpaired-translation,"Contrastive unpaired image-to-image translation, faster and lighter training than cyclegan (ECCV 2020, in PyTorch)",Computer Vision / AI,pytorch,,https://github.com/taesungp/contrastive-unpaired-translation
LISA,"Project Page for ""LISA: Reasoning Segmentation via Large Language Model""",Computer Vision / AI,,,https://github.com/dvlab-research/LISA
byte-of-python,Beginners book on Python - start here if you don't know programming,Multiple / Unknown,python,,https://github.com/swaroopch/byte-of-python
pytorch-kaldi,"pytorch-kaldi is a project for developing state-of-the-art DNN/RNN hybrid speech recognition systems. The DNN part is managed by pytorch, while feature extraction, label computation, and decoding are performed with the kaldi toolkit.",AI / ML,pytorch,,https://github.com/mravanelli/pytorch-kaldi
complete-web-developer-manual,All resources and notes from the Complete Web Developer: Zero to Mastery course,Multiple / Unknown,,,https://github.com/zero-to-mastery/complete-web-developer-manual
photon,an open source geocoder for openstreetmap data,Multiple / Unknown,,,https://github.com/komoot/photon
CodeSearchNet,"Datasets, tools, and benchmarks for representation learning of code.",Multiple / Unknown,,,https://github.com/github/CodeSearchNet
open-sustainable-technology,"A directory and analysis of the open source ecosystem in the areas of climate change, sustainable energy, biodiversity and natural resources.  https://docs.getgrist.com/gSscJkc5Rb1R/OpenSustaintech",Multiple / Unknown,,,https://github.com/protontypes/open-sustainable-technology
football_analytics,"📊⚽  A collection of football analytics projects, data, and analysis by Edd Webster (@eddwebster), including a curated list of publicly available resources published by the football analytics community.",Multiple / Unknown,,,https://github.com/eddwebster/football_analytics
scattertext,Beautiful visualizations of how language differs among document types.,Multiple / Unknown,,,https://github.com/JasonKessler/scattertext
Reinforcement-Learning-2nd-Edition-by-Sutton-Exercise-Solutions,"Solutions of Reinforcement Learning, An Introduction",Multiple / Unknown,,,https://github.com/LyWangPX/Reinforcement-Learning-2nd-Edition-by-Sutton-Exercise-Solutions
RAGEN,"RAGEN leverages reinforcement learning to train LLM reasoning agents in interactive, stochastic environments.",Multiple / Unknown,,,https://github.com/RAGEN-AI/RAGEN
large_concept_model,Large Concept Models: Language modeling in a sentence representation space,Multiple / Unknown,,,https://github.com/facebookresearch/large_concept_model
aiXcoder-7B,official repository of aiXcoder-7B Code Large Language Model,Multiple / Unknown,,,https://github.com/aixcoder-plugin/aiXcoder-7B
Semantic-Segment-Anything,Automated dense category annotation engine that serves as the initial semantic labeling for the Segment Anything dataset (SA-1B).,Multiple / Unknown,,,https://github.com/fudan-zvg/Semantic-Segment-Anything
pytorch-3dunet,3D U-Net model for volumetric semantic segmentation written in pytorch,Computer Vision / AI,pytorch,,https://github.com/wolny/pytorch-3dunet
subword-nmt,Unsupervised Word Segmentation for Neural Machine Translation and Text Generation,Computer Vision / AI,,,https://github.com/rsennrich/subword-nmt
neural-redis,Neural networks module for Redis,Multiple / Unknown,,,https://github.com/antirez/neural-redis
OpenShadingLanguage,Advanced shading language for production GI renderers,Multiple / Unknown,,,https://github.com/AcademySoftwareFoundation/OpenShadingLanguage
android-inapp-billing-v3,A lightweight implementation of Android In-app Billing Version 3,Web / Mobile,android,,https://github.com/anjlab/android-inapp-billing-v3
lagent,A lightweight framework for building LLM-based agents,Multiple / Unknown,,,https://github.com/InternLM/lagent
dreamerv3,Mastering Diverse Domains through World Models,Multiple / Unknown,,,https://github.com/danijar/dreamerv3
pdf2json,"converts binary PDF to JSON and text, for server-side PDF processing and command-line use. Zero dependency.",Multiple / Unknown,,,https://github.com/modesty/pdf2json
morphogenesis-resources,"Resources on the topic of digital morphogenesis (creating form with code). Includes links to major articles, code repos, creative projects, books, software, and more.",Multiple / Unknown,,,https://github.com/jasonwebb/morphogenesis-resources
EfiGuard,Disable PatchGuard and Driver Signature Enforcement at boot time,Multiple / Unknown,,,https://github.com/Mattiwatti/EfiGuard
spring-boot-vuejs,Example project showing how to build a Spring Boot App providing a GUI with Vue.js,Multiple / Unknown,,,https://github.com/jonashackt/spring-boot-vuejs
THREE.js-PathTracing-Renderer,"Real-time PathTracing with global illumination and progressive rendering, all on top of the Three.js WebGL framework. Click here for Live Demo: https://erichlof.github.io/THREE.js-PathTracing-Renderer/Geometry_Showcase.html",Web / Mobile,html,,https://github.com/erichlof/THREE.js-PathTracing-Renderer
deeplearning-biology,A list of deep learning implementations in biology,AI / ML,,,https://github.com/hussius/deeplearning-biology
macos_ui,Flutter widgets and themes implementing the current macOS design language.,Web / Mobile,flutter,,https://github.com/macosui/macos_ui
CoOp,"Prompt Learning for Vision-Language Models (IJCV'22, CVPR'22)",Computer Vision / AI,,,https://github.com/KaiyangZhou/CoOp
LLaVA-CoT,"[ICCV 2025] LLaVA-CoT, a visual language model capable of spontaneous, systematic reasoning",Multiple / Unknown,,,https://github.com/PKU-YuanGroup/LLaVA-CoT
aici,AICI: Prompts as (Wasm) Programs,Multiple / Unknown,,,https://github.com/microsoft/aici
prm800k,"800,000 step-level correctness labels on LLM solutions to MATH problems",Multiple / Unknown,,,https://github.com/openai/prm800k
Open-Reasoner-Zero,Official Repo for Open-Reasoner-Zero,Multiple / Unknown,,,https://github.com/Open-Reasoner-Zero/Open-Reasoner-Zero
Chat-Haruhi-Suzumiya,"Chat凉宫春日, An open sourced Role-Playing chatbot Cheng Li, Ziang Leng, and others.",NLP / AI,,,https://github.com/LC1332/Chat-Haruhi-Suzumiya
instructor-embedding,"[ACL 2023] One Embedder, Any Task: Instruction-Finetuned Text Embeddings",Multiple / Unknown,,,https://github.com/xlang-ai/instructor-embedding
pytorch-styleguide,An unofficial styleguide and best practices summary for PyTorch,AI / ML,pytorch,,https://github.com/IgorSusmelj/pytorch-styleguide
vue-objccn,🔥 Use Vue.js to develop a cross-platform full stack application / 用 Vue.js 开发的跨三端应用,Multiple / Unknown,,,https://github.com/halfrost/vue-objccn
thank-you-github,An open letter of gratitude to GitHub,Multiple / Unknown,,,https://github.com/thank-you-github/thank-you-github
Black-Friday-Deals,Black Friday Deals for macOS / iOS Software & Books,Multiple / Unknown,,,https://github.com/mRs-/Black-Friday-Deals
Free_CyberSecurity_Professional_Development_Resources,"An awesome list of FREE resources for training, conferences, speaking, labs, reading, etc that are free. Originally built during COVID-19 for cybersecurity professionals with downtime can take advantage of to improve their skills and marketability to come out on the other side ready to rock. Now its taken on a life of its own and will persist, COVID be damned.",Multiple / Unknown,,,https://github.com/gerryguy311/Free_CyberSecurity_Professional_Development_Resources
spring-boot-tutorial,"100+ Spring Boot Articles, Tutorials, Video tutorials,  Projects, Guides, Source code examples etc",Multiple / Unknown,,,https://github.com/RameshMF/spring-boot-tutorial
cambrian,Cambrian-1 is a family of multimodal LLMs with a vision-centric design.,Computer Vision / AI,,,https://github.com/cambrian-mllm/cambrian
benchmark_VAE,Unifying Variational Autoencoder (VAE) implementations in Pytorch (NeurIPS 2022),AI / ML,pytorch,,https://github.com/clementchadebec/benchmark_VAE
oidn,Intel® Open Image Denoise library,Computer Vision / AI,,,https://github.com/RenderKit/oidn
Advanced-Deep-Learning-with-Keras,"Advanced Deep Learning with Keras, published by Packt",AI / ML,keras,,https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras
ICEdit,[NeurIPS 2025] Image editing is worth a single LoRA! 0.1% training data for fantastic image editing! Surpasses GPT-4o in ID persistence~ MoE ckpt released! Only 4GB VRAM is enough to run!,Computer Vision / AI,,,https://github.com/River-Zhang/ICEdit
homelab,Brad's homelab setup,Multiple / Unknown,,,https://github.com/bradfitz/homelab
Datejs,A JavaScript Date and Time Library,Web / Mobile,javascript,,https://github.com/datejs/Datejs
ml-hypersim,Hypersim: A Photorealistic Synthetic Dataset for Holistic Indoor Scene Understanding,Multiple / Unknown,,,https://github.com/apple/ml-hypersim
Make-It-3D,[ICCV 2023] Make-It-3D: High-Fidelity 3D Creation from A Single Image with Diffusion Prior,Computer Vision / AI,,,https://github.com/junshutang/Make-It-3D
SplaTAM,"SplaTAM: Splat, Track & Map 3D Gaussians for Dense RGB-D SLAM (CVPR 2024)",Multiple / Unknown,,,https://github.com/spla-tam/SplaTAM
DemoGPT,"🤖 Everything you need to create an LLM Agent—tools, prompts, frameworks, and models—all in one place.",Multiple / Unknown,,,https://github.com/melih-unsal/DemoGPT
The-Pragmatic-Programmer,Summary of the book The Pragmatic Programmer by Andrew Hunt and  David Thomas,Multiple / Unknown,,,https://github.com/HugoMatilla/The-Pragmatic-Programmer
Atlas,Atlas: End-to-End 3D Scene Reconstruction from Posed Images,Computer Vision / AI,,,https://github.com/magicleap/Atlas
Code-LMs,Guide to using pre-trained large language models of source code,Multiple / Unknown,,,https://github.com/VHellendoorn/Code-LMs
gitexplorer,Find the right git commands without digging through the web.,Multiple / Unknown,,,https://github.com/summitech/gitexplorer
GraphGym,Platform for designing and evaluating Graph Neural Networks (GNN),Multiple / Unknown,,,https://github.com/snap-stanford/GraphGym
stats-illustrations,R & stats illustrations by @allison_horst,Multiple / Unknown,,,https://github.com/allisonhorst/stats-illustrations
Text_Classification,Text Classification Algorithms: A Survey,Multiple / Unknown,,,https://github.com/kk7nc/Text_Classification
python-weekly,"A free weekly newsletter featuring noteworthy articles, tutorials, open-source projects, podcasts, videos, trending topics, and more.Python 潮流周刊，分享文章、教程、开源项目、软件工具、播客和视频、热门话题等内容。",Multiple / Unknown,python,,https://github.com/chinesehuazhou/python-weekly
few-shot-vid2vid,Pytorch implementation for few-shot photorealistic video-to-video translation.,AI / ML,pytorch,,https://github.com/NVlabs/few-shot-vid2vid
